Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,0,1,7,0,4,0,0,0,build,Palisade,18,0.5,0.5
2,P2,1,10,7,1,4,0,0,1,7,1,4,0,0,0,build,Stone Pit,16,0.5,0.5
3,P1,1,10,7,2,4,0,0,1,7,1,4,0,0,0,build,Press,19,0.5,0.5
4,P2,1,10,7,2,4,0,0,1,7,2,4,0,1,0,build,Workshop,14,0.5,0.5
5,P1,1,10,7,3,4,0,1,1,7,2,4,0,1,0,build,Pharmacist,13,0.5,0.5
6,P2,1,10,7,3,4,0,1,1,7,3,4,0,2,0,build,Apothecary,17,0.5,0.5
7,P1,1,10,7,4,4,1,1,1,7,3,4,0,2,0,build,Baths,15,0.5,0.5
8,P2,1,10,7,4,4,1,1,1,7,4,4,0,2,0,build,Tavern,9,0.5,0.5
9,P1,1,10,7,5,4,1,1,1,7,4,4,0,2,0,build,Quarry,12,0.5,0.5
10,P2,1,10,7,5,4,1,1,1,7,5,4,1,2,0,build,Altar,10,0.5,0.5
11,P1,1,10,7,6,4,1,1,1,7,5,4,1,2,0,build,Clay Pool,8,0.5,0.5
12,P2,1,10,7,6,4,1,1,1,7,6,4,1,2,1,build,Guard Tower,5,0.5,0.5
13,P1,1,9,7,7,4,1,1,1,7,6,4,1,2,1,build,Clay Reserve,11,0.5,0.5
14,P2,1,9,7,7,4,1,1,1,7,7,4,1,2,1,build,Stone Reserve,7,0.5,0.5
15,P1,1,9,7,8,4,1,1,1,7,7,4,1,2,1,build,Wood Reserve,4,0.5,0.5
16,P2,1,9,7,8,4,1,1,1,7,8,4,1,2,1,build,Lumber Yard,6,0.5,0.5
17,P1,1,9,7,9,4,2,1,1,7,8,4,1,2,1,build,Theater,3,0.5,0.5
18,P2,1,9,7,9,4,2,1,1,7,9,4,1,2,2,build,Stable,2,0.5,0.5
19,P1,1,8,7,10,4,2,1,1,7,9,4,1,2,2,build,Logging Camp,1,0.5,0.5
20,P2,1,8,7,10,4,2,1,1,7,10,4,1,2,2,build,Clay Pit,0,0.5,0.5
1,P2,2,8,7,10,4,2,1,1,7,11,4,2,2,2,build,Temple,19,0.5,0.5
