Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P2,1,9,7,0,4,0,0,0,7,1,4,0,0,0,build,Clay Pit,18,0.5,0.5
2,P1,1,9,7,1,4,0,0,0,7,1,4,0,0,0,build,Clay Reserve,15,0.5,0.5
3,P2,1,9,7,1,4,0,0,0,7,2,4,1,0,0,build,Baths,17,0.5,0.5
4,P1,1,9,7,2,4,0,0,1,7,2,4,1,0,0,build,Guard Tower,16,0.5,0.5
5,P2,1,10,7,2,4,0,0,1,7,2,4,1,0,0,build,Palisade,11,0.5,0.5
6,P1,1,11,7,2,4,0,0,1,7,2,4,1,0,0,build,Tavern,10,0.5,0.5
7,P2,1,11,7,2,4,0,0,1,7,3,4,1,1,0,build,Workshop,19,0.5,0.5
8,P1,1,11,7,2,4,0,0,1,7,3,4,1,1,0,build,Theater,13,0.5,0.5
9,P2,1,11,7,2,4,0,0,1,7,4,4,2,1,0,build,Altar,14,0.5,0.5
10,P1,1,11,10,2,4,0,0,1,7,4,4,2,1,0,sell,Stone Reserve,6,0.5,0.5
11,P2,1,11,10,2,4,0,0,1,7,4,4,2,1,0,build,Scriptorium,12,0.5,0.5
12,P1,1,11,10,3,4,0,0,1,7,4,4,2,1,0,build,Quarry,7,0.5,0.5
13,P2,1,11,10,3,4,0,0,1,7,4,4,2,1,0,build,Stone Pit,9,0.5,0.5
14,P1,1,11,10,3,4,0,0,1,7,4,4,2,1,0,build,Glassworks,3,0.5,0.5
15,P2,1,11,10,3,4,0,0,1,7,5,4,2,1,0,build,Wood Reserve,8,0.5,0.5
16,P1,1,11,10,3,4,0,0,1,7,5,4,2,1,0,build,Pharmacist,4,0.5,0.5
17,P2,1,11,10,3,4,0,0,1,7,6,4,2,1,1,build,Garrison,1,0.5,0.5
18,P1,1,12,10,4,4,0,1,1,7,6,4,2,1,1,build,Apothecary,5,0.5,0.5
19,P2,1,12,10,4,4,0,1,1,7,6,4,2,1,1,build,Clay Pool,2,0.5,0.5
20,P1,1,12,3,4,4,0,1,1,7,6,4,2,1,1,wonder,Lumber Yard,0,0.5,0.5
1,P2,2,12,3,4,4,0,1,1,7,7,4,2,1,1,build,Drying Room,18,0.5,0.5
2,P1,2,12,6,4,4,0,1,1,7,7,4,2,1,1,sell,Brickyard,15,0.5,0.5
3,P2,2,12,6,4,4,0,1,1,7,8,4,2,1,1,build,Sawmill,11,0.5,0.5
4,P1,2,12,0,5,4,1,1,1,7,8,4,2,1,1,build,Temple,19,0.5,0.5
5,P2,2,12,0,5,4,1,1,1,7,8,4,2,1,1,build,Courthouse,17,0.5,0.5
6,P1,2,12,3,5,4,1,1,1,7,8,4,2,1,1,sell,Laboratory,16,0.5,0.5
7,P2,2,12,3,5,4,1,1,1,4,9,4,3,1,1,build,Statue,12,0.5,0.5
8,P1,2,12,6,5,4,1,1,1,4,9,4,3,1,1,sell,Library,13,0.5,0.5
9,P2,2,12,6,5,4,1,1,1,4,9,4,3,1,1,build,Dispensary,6,0.5,0.5
10,P1,2,12,6,5,4,1,1,1,4,9,4,3,1,1,build,Brewery,8,0.5,0.5
11,P2,2,12,6,5,4,1,1,1,4,9,4,3,1,1,build,Glass-Blower,7,0.5,0.5
12,P1,2,12,6,6,4,1,1,2,4,9,4,3,1,1,build,Archery Range,1,0.5,0.5
13,P2,2,14,6,6,4,1,1,2,4,10,4,3,1,2,build,Barracks,0,0.5,0.5
14,P1,2,15,2,6,4,1,1,2,4,10,4,3,1,2,wonder,Caravansery,2,0.5,0.5
15,P2,2,15,2,6,4,1,1,2,4,11,4,4,1,2,build,Aqueduct,14,0.5,0.5
16,P1,2,15,2,6,4,1,1,2,4,11,4,4,1,2,build,Shelf Quarry,9,0.5,0.5
17,P2,2,15,2,6,4,1,1,2,4,12,4,4,2,2,build,School,3,0.5,0.5
18,P1,2,15,5,6,4,1,1,2,4,12,4,4,2,2,sell,Walls,10,0.5,0.5
19,P2,2,17,5,6,4,1,1,2,4,13,4,4,2,3,build,Horse Breeders,5,0.5,0.5
1,P2,3,18,5,6,4,1,1,2,2,14,4,4,2,4,build,Siege Workshop,18,0.5,0.5
