Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,5,1,4,0,0,1,7,0,4,0,0,0,build,Stable,18,0.5,0.5
2,P2,1,10,5,1,4,0,0,1,7,1,4,0,0,0,build,Press,14,0.5,0.5
3,P1,1,10,7,1,4,0,0,1,7,1,4,0,0,0,sell,Quarry,15,0.5,0.5
4,P2,1,10,7,1,4,0,0,1,7,2,4,0,0,0,build,Lumber Yard,17,0.5,0.5
5,P1,1,10,9,1,4,0,0,1,7,2,4,0,0,0,sell,Glassworks,9,0.5,0.5
6,P2,1,10,9,1,4,0,0,1,7,2,4,0,0,0,build,Palisade,12,0.5,0.5
7,P1,1,11,7,2,4,0,1,1,7,2,4,0,0,0,build,Workshop,16,0.5,0.5
8,P2,1,11,7,2,4,0,1,1,7,2,4,0,0,0,build,Stone Pit,11,0.5,0.5
9,P1,1,11,9,2,4,0,1,1,7,2,4,0,0,0,sell,Theater,19,0.5,0.5
10,P2,1,11,9,2,4,0,1,1,7,2,4,0,0,0,build,Guard Tower,13,0.5,0.5
11,P1,1,12,9,3,4,1,1,1,7,2,4,0,0,0,build,Baths,7,0.5,0.5
12,P2,1,12,9,3,4,1,1,1,7,3,4,0,1,0,build,Pharmacist,8,0.5,0.5
13,P1,1,12,9,3,4,1,1,1,7,3,4,0,1,0,build,Scriptorium,4,0.5,0.5
14,P2,1,12,9,3,4,1,1,1,7,3,4,0,1,0,build,Apothecary,10,0.5,0.5
15,P1,1,14,1,3,4,1,1,1,7,3,4,0,1,0,wonder,Wood Reserve,5,0.5,0.5
16,P2,1,14,1,3,4,1,1,1,7,4,4,0,1,0,build,Clay Pit,6,0.5,0.5
17,P1,1,14,1,3,4,1,1,1,7,4,4,0,1,0,build,Logging Camp,2,0.5,0.5
18,P2,1,14,1,3,4,1,1,1,7,4,4,0,1,0,build,Stone Reserve,3,0.5,0.5
19,P1,1,14,3,3,4,1,1,1,7,4,4,0,1,0,sell,Garrison,1,0.5,0.5
20,P2,1,15,3,3,4,1,1,1,7,5,4,0,1,0,build,Tavern,0,0.5,0.5
1,P1,2,15,0,4,4,1,2,1,7,5,4,0,1,0,build,Library,19,0.5,0.5
2,P2,2,16,0,4,4,1,2,1,3,5,4,0,1,0,wonder,Parade Ground,18,0.5,0.5
1,P1,3,18,0,5,4,1,2,1,3,5,4,0,1,0,build,Armory,19,0.5,0.5
2,P2,3,18,0,5,4,1,2,1,3,6,4,1,1,0,build,Palace,18,0.5,0.5
3,P1,3,18,3,5,4,1,2,1,3,6,4,1,1,0,sell,Senate,17,0.5,0.5
4,P2,3,18,3,5,4,1,2,1,3,6,4,1,1,0,build,Arena,16,0.5,0.5
5,P1,3,18,6,5,4,1,2,1,3,6,4,1,1,0,sell,Observatory,13,0.5,0.5
6,P2,3,18,6,5,4,1,2,1,3,6,4,1,1,0,build,Moneylenders Guild,15,0.5,0.5
7,P1,3,18,0,6,4,1,2,1,3,6,4,1,1,0,build,Lighthouse,14,0.5,0.5
8,P2,3,18,0,6,4,1,2,1,3,7,4,1,1,0,build,Builders Guild,12,0.5,0.5
9,P1,3,18,4,6,4,1,2,1,3,7,4,1,1,0,sell,Traders Guild,11,0.5,0.5
10,P2,3,18,4,6,4,1,2,1,3,7,4,1,1,0,build,Pretorium,9,0.5,0.5
